,IP,unemp,CRB Pcomm,CPI,EBP,2y Treas,MPS,MPS_ORTH,NFP_surp,DNFP_12m,SP500_3m,Slope_3m,Pcomm_3m,Tr_skew
1973-01-01,45.2942,4.9,491.339,42.7,0.0123638303244215,6.279,,,,,,,,
1973-02-01,45.9656,5.0,498.4291,43.0,-0.020824189537568,6.597,,,,,,,,
1973-03-01,45.9872,4.9,500.2603,43.4,-0.107897054913113,6.8679,,,,,,,,
1973-04-01,45.9237,5.0,503.5653,43.7,-0.164799313606441,6.7019,,,,,,,,
1973-05-01,46.2192,4.9,511.3793,43.9,-0.0566075899217934,6.82,,,,,,,,
1973-06-01,46.2509,4.9,514.6913,44.2,0.0525645437198751,7.0981,,,,,,,,
1973-07-01,46.4421,4.8,527.3512,44.2,-0.326719540586999,8.0664,,,,,,,,
1973-08-01,46.3648,4.8,530.8268,45.0,-0.161981344323661,7.6208,,,,,,,,
1973-09-01,46.7803,4.8,527.3,45.2,-0.330305633233006,6.8676,,,,,,,,
1973-10-01,47.0954,4.6,523.3779,45.6,0.162129099984299,6.751,,,,,,,,
1973-11-01,47.3445,4.8,525.8016,45.9,0.0836017768506072,6.8125,,,,,,,,
1973-12-01,47.2315,4.9,532.7876,46.3,0.0370517074257115,6.7885,,,,,,,,
1974-01-01,46.8994,5.1,538.2199,46.8,-0.00624619414272942,6.7347,,,,,,,,
1974-02-01,46.7538,5.2,547.7718,47.3,0.182480411661342,6.815,,,,,,,,
1974-03-01,46.7685,5.1,545.1038,47.8,-0.0795513806508134,7.7276,,,,,,,,
1974-04-01,46.6069,5.1,543.5467,48.1,0.0799923140021072,8.3138,,,,,,,,
1974-05-01,46.9743,5.1,537.9436,48.6,0.0829768664506283,8.0729,,,,,,,,
1974-06-01,46.9233,5.4,542.4509,49.0,0.661034007152555,8.3018,,,,,,,,
1974-07-01,46.9464,5.5,552.1061,49.3,1.16544782361925,8.5251,,,,,,,,
1974-08-01,46.4907,5.5,546.5102,49.9,0.819725220984258,8.7922,,,,,,,,
